epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,48563.2,0.99064,0.95344,1.28913,0.81435,0.63509,0.72304,0.43856,1.32476,1.17288,1.66453,0.000515,0.000515,0.000515
77,49147.9,0.98062,0.93918,1.27593,0.81475,0.66224,0.72876,0.44531,1.35407,1.16412,1.67249,0.0004952,0.0004952,0.0004952
78,49733,0.97156,0.93164,1.27346,0.76432,0.6699,0.73058,0.44084,1.36305,1.16818,1.68348,0.0004754,0.0004754,0.0004754
79,50323.1,0.97573,0.93926,1.28149,0.79715,0.65058,0.72126,0.43583,1.35047,1.18333,1.67967,0.0004556,0.0004556,0.0004556
80,50908.9,0.9642,0.88961,1.28576,0.78714,0.65637,0.72431,0.44532,1.35714,1.16696,1.67742,0.0004358,0.0004358,0.0004358
81,51494.9,0.9707,0.89451,1.28367,0.7679,0.66427,0.72818,0.43295,1.38003,1.17927,1.70955,0.000416,0.000416,0.000416
82,52084.7,0.97544,0.92795,1.26961,0.80903,0.62934,0.72073,0.43118,1.37855,1.16747,1.69691,0.0003962,0.0003962,0.0003962
83,52670.9,0.93868,0.88765,1.25649,0.77812,0.6583,0.72788,0.43713,1.3795,1.16118,1.71368,0.0003764,0.0003764,0.0003764
84,53257.1,0.97922,0.90178,1.27737,0.81186,0.66602,0.72626,0.42448,1.42771,1.16889,1.73869,0.0003566,0.0003566,0.0003566
85,53845.2,0.94234,0.87521,1.2523,0.78281,0.67761,0.74913,0.43806,1.37895,1.15093,1.71192,0.0003368,0.0003368,0.0003368
86,54430.9,0.94372,0.86544,1.25318,0.8303,0.65637,0.74243,0.43743,1.38918,1.13893,1.71374,0.000317,0.000317,0.000317
87,54989.8,0.91009,0.842,1.23853,0.80793,0.64964,0.7277,0.42616,1.36794,1.16584,1.69424,0.0002972,0.0002972,0.0002972
88,55542,0.93389,0.85482,1.2642,0.75929,0.68147,0.72842,0.43033,1.39037,1.17667,1.70555,0.0002774,0.0002774,0.0002774
89,56109,0.9176,0.83996,1.23638,0.78522,0.65636,0.73151,0.43207,1.40334,1.16641,1.72658,0.0002576,0.0002576,0.0002576
90,56666.5,0.91663,0.83108,1.24445,0.76215,0.68533,0.73186,0.43752,1.379,1.15555,1.69141,0.0002378,0.0002378,0.0002378
91,57224.9,0.83333,0.69132,1.20792,0.78918,0.67761,0.72849,0.42267,1.39913,1.16522,1.7096,0.000218,0.000218,0.000218
92,57775.7,0.81828,0.65663,1.21969,0.77079,0.69305,0.73115,0.42398,1.3751,1.17776,1.69299,0.0001982,0.0001982,0.0001982
93,58324.2,0.79968,0.64479,1.20158,0.84144,0.64865,0.74435,0.44067,1.36568,1.14778,1.69262,0.0001784,0.0001784,0.0001784
94,58875.1,0.78512,0.61861,1.17661,0.78997,0.68726,0.74338,0.438,1.36759,1.1378,1.6905,0.0001586,0.0001586,0.0001586
95,59435.2,0.77109,0.60951,1.17694,0.80315,0.66952,0.74209,0.44178,1.36215,1.12964,1.6895,0.0001388,0.0001388,0.0001388
96,59988.2,0.77126,0.60095,1.17417,0.82063,0.66216,0.74065,0.43827,1.36589,1.14679,1.68742,0.000119,0.000119,0.000119
97,60540.4,0.75478,0.59647,1.16126,0.8177,0.66677,0.74466,0.4473,1.35662,1.11146,1.68743,9.92e-05,9.92e-05,9.92e-05
98,61106,0.74759,0.59351,1.14807,0.8303,0.66119,0.74424,0.45032,1.33662,1.10871,1.67705,7.94e-05,7.94e-05,7.94e-05
99,61657.1,0.76114,0.58252,1.17329,0.79255,0.67181,0.74299,0.44455,1.34696,1.11164,1.68487,5.96e-05,5.96e-05,5.96e-05
100,62205.1,0.7679,0.58255,1.17977,0.83145,0.65709,0.74536,0.44374,1.35724,1.11442,1.69407,3.98e-05,3.98e-05,3.98e-05
